日付	キャンペーン名	広告セット名	広告名	クリック	インプレッション	消化金額	結果
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	知識ゼロでも叶う	0	2	6	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	いつか投資を始めたいver2	0	1	2	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	投資という人生の味方	0	2	1	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	日本一簡単な株式投資	15	706	4463	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【きっかけ】	0	2	36	0
2026/03/18	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	仲間とやるから続けられる	1	2	3	0
2026/03/18	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	FV訴求	0	1	4	0
2026/03/18	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	インタビューかずみさん	1	2	16	0
2026/03/18	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	50代でもスタートできる	15	314	3210	0
2026/03/18	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	日本一簡単な株式投資	32	944	6377	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	日本一簡単な株式投資	3	134	997	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	一歩進んだ資産づくり	0	3	17	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	インタビューかずよさん	0	2	44	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	NISAの次の一歩	9	434	3518	0
2026/03/18	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	仲間とやるから続けられる	7	518	2677	0
2026/03/18	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	インタビューかずみさん	3	78	815	0
2026/03/18	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	FV訴求	4	76	1175	0
2026/03/18	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	インタビューまりこさん	1	11	157	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	子供の選択肢を増やす	0	1	2	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	日本一簡単な株式投資	17	666	4060	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【きっかけ】	1	4	67	0
2026/03/19	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	仲間とやるから続けられる	0	1	2	0
2026/03/19	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	FV訴求	1	1	22	0
2026/03/19	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	50代でもスタートできる	19	264	3279	0
2026/03/19	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	日本一簡単な株式投資	27	747	6211	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	いつか投資を始めたい	0	1	53	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	日本一簡単な株式投資	3	116	882	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	一歩進んだ資産づくり	0	3	19	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	インタビューかずよさん	0	1	11	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	NISAの次の一歩	5	345	3637	0
2026/03/19	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	かずみさんショート【成果】	1	5	87	0
2026/03/19	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	仲間とやるから続けられる	12	429	2426	0
2026/03/19	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	インタビューかずみさん	3	82	1139	0
2026/03/19	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	FV訴求	2	91	997	0
2026/03/19	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	インタビューまりこさん	1	43	366	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	知識ゼロでも叶う	0	13	87	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	子供の選択肢を増やす	1	31	281	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	いつか投資を始めたいver2	0	4	29	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	円安だけど気にしない	8	415	3017	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【成果】	0	14	120	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【きっかけ】	10	520	3712	0
2026/03/25	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	仲間とやるから続けられる	0	3	14	0
2026/03/25	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	FV訴求	0	20	86	0
